appid,name
646600,Baobabs Mausoleum Ep.1 Ovnifagos Don´t Eat Flamingos
646690,The Surge Demo
646050,Past Cure
646100,Woodlands
646150,Winter Wolves Classic Games Collection
646880,Aporia: Beyond The Valley Demo
646200,Dead Effect 2 VR
646060,Raise Your Own Clone Demo
646300,ChainMan
645840,Close Your Eyes - The Twisted Puzzle
645360,Cube XL
645290,Mechanism
644870,Fortress of Hell
644890,DarkLast
645090,Zup! 5
645150,Unborne
645210,USSR 2021
644480,Outbreak: The New Nightmare
644380,Hegis' Grasp: Evil Resurrected
644160,Reflecting Fate
643970,Return to Planet X
643820,ShadowSide
643620,Night Trap - 25th Anniversary Edition
643270,OLDTV
643200,Keep in Mind: Remastered
642170,Legendary Hunter VR
642020,Gordy and the Monster Moon
640860,Stone Rage
640920,Little Nightmares - Secrets of The Maw Expansion Pass
640970,In Game Adventure: Legend of Monsters
640730,ICED Demo
640090,Zarya-1: Mystery on the Moon
639490,Umineko When They Cry - Answer Arcs
639660,Undying Demo
639270,Operation Warcade VR
639370,Professor Teaches Accounting Fundamentals
639170,Minecraft: Story Mode - Season Two
639200,Shadow Over Isolation Demo
638800,The Trap 2: Mindlock (beta)
639210,OVIVO Demo
638990,UNDYING
638390,Trail of the Damned
638460,White Noise 2 - Corey & Shaira
638360,Half-Rats: Parasomnia
637850,Confess My Love
638110,Desert Bus VR
637100,Sonic Forces
637060,Tiny Tales: Heart of the Forest
636520,Gevaudan
636720,Bring to Light
636060,"Remember, Remember Demo"
636100,Tesla vs Lovecraft
635670,EMPORIUM
635200,Distrust
635220,The Naked Game
635900,Tunnels of Despair
634120,Inmates
633251,Oats Studios - Volume 1: RAKKA
633460,Tannenberg
633030,Oats Studios - Volume 1
631830,Sarcophag
631990,"Remember, Remember"
632050,The Village
631890,Heartbound Demo
629840,Caligo
630060,寇莎梅特：困世迷情 Consummate:Missing World
629240,Toilet Run
629220,Rise of Insanity
629510,Arctic Adventure: Episodes Demo
628670,Hellpoint
628730,Adolescent Santa Claus
628940,LIZ: Before the Plague
629000,Lydia
628410,Arctic Adventure: Episodes
628350,Lazaretto
628580,Miniballist
628200,The Invisible Hand
627380,The Family Skeleton
627040,The Dark Tapes
625980,Yomawari: Midnight Shadows
625440,Inner Voices Demo
625560,The Overdreamer
624920,Trapped With the Dolls VR
624560,Medusa's Labyrinth VR
623890,White Noise 2 - Astaroth
623940,HIVESWAP: ACT 1
624270,The Painscreek Killings
622890,NecroWorm
622420,Stay Alive: Apocalypse
622660,Bendy and the Ink Machine: Chapter Three
622610,Cult: Fear Inside
622661,Bendy and the Ink Machine: Chapter Two
622680,Mayhem in Single Valley
621080,Persian Nights: Sands of Wonders
620700,Evil Possession
620270,Fantasy Grounds - Deadlands Reloaded: Saddle Sore (Savage Worlds)
620350,Dark Hope: A Puzzle Adventure
619740,The Inevitability
619340,EGOS - Tales of Fallen Souls
619490,Fear of Clowns
618750,Choose Wisely
619080,SOS
619120,Affliction Breakout Edition DLC
618430,Episicava - Vol. I
617970,Love Bites
618110,Toymaker Prologue
617620,Disturbed: Beyond Aramor
617670,Zup! S
617590,Affliction
617730,Home Sweet Home Demo
617160,Home Sweet Home
616680,Monster Showdown
616690,BRKÖUT
616520,Cheap Golf
616220,Hide vs. Seek
615700,A Plunge into Darkness
615180,Firewood
615350,Scarlett Mysteries: Cursed Child
